rel_path,size_mb,h5py_open,is_symlink,error,total_items,has_posterior,has_ringdown,has_strain
GW240925-C00-Strain\GW240925-C00-Strain\O4b4DiscC00_16KHZ_R1\STRAIN_HDF\L1\1410334720\L-L1_GWOSC_O4b4DiscC00_16KHZ_R1-1411260416-4096.hdf5,485.98,True,False,,26,False,False,True
GW240925-C00-Strain\GW240925-C00-Strain\O4b4DiscC00_16KHZ_R1\STRAIN_HDF\V1\1410334720\V-V1_GWOSC_O4b4DiscC00_16KHZ_R1-1411260416-4096.hdf5,275.94,True,False,,26,False,False,True
GW240925-C00-Strain\GW240925-C00-Strain\O4b4DiscC00_4KHZ_R1\STRAIN_HDF\H1\1410334720\H-H1_GWOSC_O4b4DiscC00_4KHZ_R1-1411260416-4096.hdf5,51.49,True,False,,26,False,False,True
GW240925-C00-Strain\GW240925-C00-Strain\O4b4DiscC00_4KHZ_R1\STRAIN_HDF\L1\1410334720\L-L1_GWOSC_O4b4DiscC00_4KHZ_R1-1411260416-4096.hdf5,122.75,True,False,,26,False,False,True
GW240925-C00-Strain\GW240925-C00-Strain\O4b4DiscC00_4KHZ_R1\STRAIN_HDF\V1\1410334720\V-V1_GWOSC_O4b4DiscC00_4KHZ_R1-1411260416-4096.hdf5,67.24,True,False,,26,False,False,True
pseobnr\pseobnr\22_44_NoCal.hdf5,16.98,True,False,,379,True,False,True
pseobnr\pseobnr\22_44_WideCal.hdf5,40.37,True,False,,469,True,False,True
pseobnr\pseobnr\22_NoCal.hdf5,16.53,True,False,,379,True,False,True
pseobnr\pseobnr\22_WideCal.hdf5,39.65,True,False,,469,True,False,True
ringdown\ringdown\rd_GW250207_Kerr220_8M_singleIFO_prod_2048Hz_evol_20Ksamps.hdf5,1.23,True,False,,10,False,False,True
combined_samples\combined_samples\S240925n\online_posterior_samples.h5,12.88,True,False,,874,False,False,False
fti\fti\S240925n_correct_cal\fti_dchi0.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\FTI\asimov\results\S240925n_correct_cal\fti_dchi0-1\posterior_samples.h5,0,False,False,False
fti\fti\S240925n_correct_cal\fti_dchi1.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\FTI\asimov\results\S240925n_correct_cal\fti_dchi1\posterior_samples.h5,0,False,False,False
fti\fti\S240925n_correct_cal\fti_dchi2.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\FTI\asimov\results\S240925n_correct_cal\fti_dchi2\posterior_samples.h5,0,False,False,False
fti\fti\S240925n_correct_cal\fti_dchi3NS.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\FTI\asimov\results\S240925n_correct_cal\fti_dchi3NS\posterior_samples.h5,0,False,False,False
fti\fti\S240925n_correct_cal\fti_dchi4NS.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\FTI\asimov\results\S240925n_correct_cal\fti_dchi4NS\posterior_samples.h5,0,False,False,False
fti\fti\S240925n_correct_cal\fti_dchi5lNS.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\FTI\asimov\results\S240925n_correct_cal\fti_dchi5lNS\posterior_samples.h5,0,False,False,False
