det,offset_s,bandpower
L1,-424.0,3.4655384530142717e-39
L1,-420.0,5.421015234806111e-39
L1,-416.0,1.917344461703578e-39
L1,-412.0,9.20323192102487e-39
L1,-408.0,2.2720280256276245e-39
L1,-404.0,1.7120030283299145e-39
L1,-400.0,2.946675685596129e-39
L1,-396.0,1.4340591588989563e-39
L1,-392.0,3.8117109292345895e-39
L1,-388.0,4.277818721435278e-39
L1,-384.0,2.003807168491689e-39
L1,-380.0,2.786457848359262e-39
L1,-376.0,1.0049053319474259e-38
L1,-372.0,4.0014131922900845e-39
L1,-368.0,3.4178784735084326e-39
L1,-364.0,1.512528456017409e-39
L1,-360.0,9.87470057686748e-40
L1,-356.0,2.6483692879077143e-39
L1,-352.0,1.3927800650279185e-39
L1,-348.0,1.350333162665259e-39
L1,-344.0,4.2201951116013154e-39
L1,-340.0,2.807284046686399e-39
L1,-336.0,1.663886322759598e-39
L1,-332.0,4.5640870934104714e-39
L1,-328.0,3.8876619486265956e-39
L1,-324.0,1.5313127479241355e-39
L1,-320.0,3.248730919126409e-39
L1,-316.0,3.1896646076135973e-39
L1,-312.0,4.326854660634612e-39
L1,-308.0,2.939680941139651e-39
L1,-304.0,3.615158371078201e-39
L1,-300.0,2.793660730672638e-39
L1,-296.0,8.25830673141557e-39
L1,-292.0,2.7274876895701845e-39
L1,-288.0,4.44722915755118e-39
L1,-284.0,8.796292214428199e-39
L1,-280.0,1.6636926364261312e-39
L1,-276.0,6.116802090483557e-39
L1,-272.0,3.1579439209116456e-39
L1,-268.0,1.5408820742567273e-39
L1,-264.0,2.150175478031648e-39
L1,-260.0,1.5077634800570727e-39
L1,-256.0,2.6500509254704114e-39
L1,-252.0,1.566276158094853e-39
L1,-248.0,1.617502004966104e-39
L1,-244.0,2.577843263860676e-39
L1,-240.0,5.3270592453232574e-39
L1,-236.0,4.652641248825762e-39
L1,-232.0,3.598438953269233e-39
L1,-228.0,1.9547566589658264e-39
L1,-224.0,6.353310556910777e-39
L1,-220.0,3.641193877508801e-39
L1,-216.0,4.31895487212779e-39
L1,-212.0,2.1898125481827032e-39
L1,-208.0,4.457544094846555e-39
L1,-204.0,3.5618954468131714e-39
L1,-200.0,3.4779512516070316e-39
L1,-196.0,2.5187694356300346e-39
L1,-192.0,1.501821953930429e-39
L1,-188.0,3.264775993809432e-39
L1,-184.0,4.921664564112624e-39
L1,-180.0,3.1080939454972385e-39
L1,-176.0,2.7851912352270477e-39
L1,-172.0,2.1776349445479105e-39
L1,-168.0,1.2930925500084224e-39
L1,-164.0,1.4379960066171922e-39
L1,-160.0,3.728636616689935e-39
L1,-156.0,2.2330807457140572e-39
L1,-152.0,5.4546743030123816e-39
L1,-148.0,2.2287713313919405e-39
L1,-144.0,7.894092971819004e-39
L1,-140.0,3.0950893484284957e-39
L1,-136.0,4.4947405932802344e-39
L1,-132.0,2.8349470207628493e-39
L1,-128.0,9.683539247201784e-40
L1,-124.0,1.4155543853200104e-39
L1,-120.0,3.858898223941497e-39
L1,-116.0,2.1241237405344742e-39
L1,-112.0,4.459007159352378e-39
L1,-108.0,3.797082749389408e-39
L1,-104.0,1.580392683335271e-39
L1,-100.0,2.9308705742800043e-39
L1,-96.0,3.033689978554652e-39
L1,-92.0,4.367800218364141e-39
L1,-88.0,2.850876577984535e-39
L1,-84.0,2.3549465380502285e-39
L1,-80.0,3.4747154107180753e-39
L1,-76.0,2.957110024099975e-39
L1,-72.0,1.2690494356522214e-39
L1,-68.0,2.3016863416499332e-39
L1,-64.0,5.096664352944583e-39
L1,-60.0,1.5459470831729994e-39
L1,-56.0,3.8894671601169643e-39
L1,-52.0,1.1110682141680523e-39
L1,-48.0,4.95841068825721e-39
L1,-44.0,4.588435943944847e-39
L1,-40.0,3.637625437513757e-39
L1,-36.0,2.4913684344111203e-39
L1,-32.0,1.6804805395709218e-39
L1,-28.0,1.626707900427814e-39
L1,-24.0,4.0408557860120174e-39
L1,-20.0,1.80950645450877e-39
L1,-16.0,4.3835950393106775e-39
L1,-12.0,3.94050435878102e-39
L1,-8.0,2.6271741926255166e-39
L1,-4.0,2.3074065056365547e-39
L1,0.0,5.3954068427399595e-39
L1,4.0,2.3086897114738763e-39
L1,8.0,3.154315057157391e-39
L1,12.0,3.989702484458706e-39
L1,16.0,5.0020865817250346e-39
L1,20.0,9.70686247195108e-39
L1,24.0,3.4601945854775937e-39
L1,28.0,4.1982676649070566e-39
L1,32.0,2.4308588454966048e-39
L1,36.0,3.5260086155688e-39
L1,40.0,2.468799282129254e-39
L1,44.0,3.9520832864623104e-39
L1,48.0,1.2287539922708312e-39
L1,52.0,2.9131941972250442e-39
L1,56.0,3.012931328825323e-39
L1,60.0,6.687276169144012e-39
L1,64.0,2.6678607438886935e-39
L1,68.0,1.2787989237789074e-39
L1,72.0,1.2914520246629415e-39
L1,76.0,1.644020163031736e-39
L1,80.0,1.475781131729242e-39
L1,84.0,4.0397911409813805e-39
L1,88.0,2.6825196965319365e-39
L1,92.0,2.5793444258458608e-39
L1,96.0,3.853240277802285e-39
L1,100.0,4.4885142866341396e-39
L1,104.0,3.0576190664682096e-39
L1,108.0,5.8187555379297524e-39
L1,112.0,3.433799097820507e-39
L1,116.0,2.18361305035509e-39
L1,120.0,4.5217380767258705e-39
L1,124.0,3.2127497937524345e-39
L1,128.0,8.365435519887316e-39
L1,132.0,9.127773793525699e-39
L1,136.0,2.0807021213859926e-39
L1,140.0,1.0216778477084563e-39
L1,144.0,4.1192622976221436e-39
L1,148.0,1.9141162735346463e-39
L1,152.0,1.3091311152286458e-39
L1,156.0,3.904869547181523e-39
L1,160.0,4.2561697617408055e-39
L1,164.0,5.529449788988997e-39
L1,168.0,4.7161309457199476e-39
L1,172.0,5.7008795217060866e-39
L1,176.0,3.177893355846744e-39
L1,180.0,4.702006034507611e-39
L1,184.0,9.814538354752469e-39
L1,188.0,8.739936534289632e-40
L1,192.0,5.116250386161547e-39
L1,196.0,5.829488776078139e-39
L1,200.0,3.537845551582033e-39
L1,204.0,3.299494518096794e-39
L1,208.0,9.228107958877394e-39
L1,212.0,3.61387035363691e-39
L1,216.0,8.756348225795775e-40
L1,220.0,6.530312020643916e-39
L1,224.0,2.6086674275813967e-39
L1,228.0,2.9933425125386564e-39
L1,232.0,2.0142343822998845e-39
L1,236.0,4.325981059397912e-39
L1,240.0,2.6593882937042445e-39
L1,244.0,2.960663977076114e-39
L1,248.0,2.3492832100993702e-39
L1,252.0,1.4124651215429198e-39
L1,256.0,2.993739164490566e-39
L1,260.0,2.1033727532580972e-39
L1,264.0,1.4290175252976762e-39
L1,268.0,1.9742088196272063e-39
L1,272.0,2.405409396797056e-39
L1,276.0,4.2561585075965746e-39
L1,280.0,3.29353501169535e-39
L1,284.0,6.889804236236814e-39
L1,288.0,1.0919156713778692e-38
L1,292.0,1.7751978867151704e-39
L1,296.0,1.582283816529089e-39
L1,300.0,7.973272849634232e-39
L1,304.0,4.328026628187199e-39
L1,308.0,1.2744834431624263e-39
L1,312.0,2.111408654027564e-39
L1,316.0,1.6990178424841063e-39
L1,320.0,1.3167015470578719e-39
L1,324.0,4.2198904351861526e-39
L1,328.0,3.36548542461997e-39
L1,332.0,1.0345402131283554e-39
L1,336.0,2.414329432299782e-39
L1,340.0,2.5715157576986878e-39
L1,344.0,2.98932128792369e-39
L1,348.0,6.784425058240249e-39
L1,352.0,9.15424903107676e-40
L1,356.0,1.6641333460016895e-39
L1,360.0,1.809485356308065e-39
L1,364.0,1.5203155385402418e-39
L1,368.0,4.5530506287888487e-39
L1,372.0,2.6890918805643668e-39
L1,376.0,4.337066048279581e-39
L1,380.0,9.320257679259698e-40
L1,384.0,9.774985579229716e-39
L1,388.0,3.515765813574886e-39
L1,392.0,8.729205697298773e-39
L1,396.0,1.8452727745248615e-39
